module,test_path,cjc_result,cjwasm_result
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/03_literals/01_integer_literals/a07/test_a07_32.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/03_literals/01_integer_literals/a07/test_a07_33.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/03_literals/01_integer_literals/a07/test_a07_34.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/03_literals/01_integer_literals/a07/test_a07_35.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/03_literals/01_integer_literals/a07/test_a07_36.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/03_literals/01_integer_literals/a07/test_a07_37.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/03_literals/01_integer_literals/a07/test_a07_38.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/03_literals/01_integer_literals/a07/test_a07_39.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/03_literals/01_integer_literals/a07/test_a07_40.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/03_literals/01_integer_literals/a07/test_a07_50.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/03_literals/01_integer_literals/a07/test_a07_51.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/03_literals/01_integer_literals/a07/test_a07_52.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/03_literals/01_integer_literals/a07/test_a07_53.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/03_literals/01_integer_literals/a07/test_a07_54.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/03_literals/01_integer_literals/a07/test_a07_55.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/03_literals/01_integer_literals/a07/test_a07_56.cj","PASSED","FAILED"
